random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
8,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5855855855855856,0.42755224155389854,0.4215074998824469,0.593505735951779,"[[50, 5, 16], [1, 1, 4], [17, 3, 14]]",8,1,0.704225352112676,0.7352941176470589,0.7194244604316546,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.4117647058823529,0.4117647058823529,0.4117647058823529
8,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6216216216216216,0.4463315842769033,0.45465615054656155,0.6139170303553865,"[[54, 2, 15], [2, 1, 3], [19, 1, 14]]",3,1,0.7605633802816901,0.72,0.7397260273972602,0.16666666666666666,0.25,0.2,0.4117647058823529,0.4375,0.42424242424242425
8,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.5945945945945946,0.47799871122157783,0.47822658270419466,0.5931296080549813,"[[51, 3, 17], [1, 2, 3], [20, 1, 13]]",4,2,0.7183098591549296,0.7083333333333334,0.7132867132867133,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38235294117647056,0.3939393939393939,0.3880597014925373
8,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.5945945945945946,0.47799871122157783,0.47822658270419466,0.5931296080549813,"[[51, 3, 17], [1, 2, 3], [20, 1, 13]]",4,2,0.7183098591549296,0.7083333333333334,0.7132867132867133,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38235294117647056,0.3939393939393939,0.3880597014925373
8,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5945945945945946,0.36605909969621653,0.3572649572649573,0.5727419727419727,"[[55, 1, 15], [1, 0, 5], [23, 0, 11]]",1,0,0.7746478873239436,0.6962025316455697,0.7333333333333333,0.0,0.0,0.0,0.3235294117647059,0.3548387096774194,0.3384615384615385
9,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5765765765765766,0.47882721163582803,0.44862155388471175,0.5947300684142789,"[[47, 5, 19], [2, 2, 2], [13, 6, 15]]",11,2,0.6619718309859155,0.7580645161290323,0.706766917293233,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.4411764705882353,0.4166666666666667,0.42857142857142855
9,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6396396396396397,0.46083034152628183,0.4622752726201002,0.6356250149353597,"[[55, 2, 14], [3, 1, 2], [16, 3, 15]]",5,1,0.7746478873239436,0.7432432432432432,0.7586206896551724,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4411764705882353,0.4838709677419355,0.46153846153846156
9,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6306306306306306,0.4459173340697781,0.44999098124098125,0.6216094341094341,"[[56, 1, 14], [2, 1, 3], [18, 3, 13]]",4,1,0.7887323943661971,0.7368421052631579,0.7619047619047619,0.16666666666666666,0.2,0.18181818181818182,0.38235294117647056,0.43333333333333335,0.40625
9,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6126126126126126,0.37544877105771884,0.37265979838262986,0.590810152126204,"[[57, 0, 14], [6, 0, 0], [19, 4, 11]]",4,0,0.8028169014084507,0.6951219512195121,0.7450980392156863,0.0,0.0,0.0,0.3235294117647059,0.44,0.3728813559322034
9,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6936936936936937,0.5654055049249748,0.5709103103469301,0.6947969553603356,"[[55, 1, 15], [2, 2, 2], [12, 2, 20]]",3,2,0.7746478873239436,0.7971014492753623,0.7857142857142857,0.3333333333333333,0.4,0.36363636363636365,0.5882352941176471,0.5405405405405406,0.5633802816901409
