fold_number,repeat_number,fold_within_repeat,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
12,3,2,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6036036036036037,0.4369419129154009,0.4361958443854996,0.6011010347217243,"[[52, 3, 16], [5, 1, 0], [17, 3, 14]]",6,1,0.7323943661971831,0.7027027027027027,0.7172413793103448,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.4117647058823529,0.4666666666666667,0.4375
12,3,2,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6396396396396397,0.4355150510908589,0.4241545893719807,0.6361404883144013,"[[51, 2, 18], [3, 0, 3], [13, 1, 20]]",3,0,0.7183098591549296,0.7611940298507462,0.7391304347826086,0.0,0.0,0.0,0.5882352941176471,0.4878048780487805,0.5333333333333333
13,3,3,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6181818181818182,0.49598506069094306,0.48581048581048586,0.615768070313525,"[[52, 5, 13], [2, 2, 2], [19, 1, 14]]",6,2,0.7428571428571429,0.7123287671232876,0.7272727272727273,0.3333333333333333,0.25,0.2857142857142857,0.4117647058823529,0.4827586206896552,0.4444444444444444
13,3,3,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.5818181818181818,0.36526610644257707,0.3648599224636091,0.5698645440580925,"[[52, 4, 14], [4, 0, 2], [21, 1, 12]]",5,0,0.7428571428571429,0.6753246753246753,0.7074829931972789,0.0,0.0,0.0,0.35294117647058826,0.42857142857142855,0.3870967741935484
13,3,3,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.5454545454545454,0.32605042016806723,0.3200241984271022,0.5206731562448441,"[[52, 3, 15], [5, 0, 1], [25, 1, 8]]",4,0,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.0,0.0,0.0,0.23529411764705882,0.3333333333333333,0.27586206896551724
13,3,3,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.5727272727272728,0.34033613445378147,0.3316624895572264,0.5413078149920255,"[[55, 2, 13], [4, 0, 2], [25, 1, 8]]",3,0,0.7857142857142857,0.6547619047619048,0.7142857142857143,0.0,0.0,0.0,0.23529411764705882,0.34782608695652173,0.2807017543859649
13,3,3,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5909090909090909,0.4208216619981326,0.42882404951370473,0.5814612973233664,"[[52, 3, 15], [1, 1, 4], [22, 0, 12]]",3,1,0.7428571428571429,0.6933333333333334,0.7172413793103448,0.16666666666666666,0.25,0.2,0.35294117647058826,0.3870967741935484,0.36923076923076925
14,3,4,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6363636363636364,0.6633802816901408,0.534110334110334,0.6609535918626828,"[[49, 8, 14], [0, 4, 1], [10, 7, 17]]",15,4,0.6901408450704225,0.8305084745762712,0.7538461538461538,0.8,0.21052631578947367,0.3333333333333333,0.5,0.53125,0.5151515151515151
14,3,4,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.6272727272727273,0.4107981220657277,0.41252955082742315,0.6306254029658285,"[[52, 4, 15], [3, 0, 2], [15, 2, 17]]",6,0,0.7323943661971831,0.7428571428571429,0.7375886524822695,0.0,0.0,0.0,0.5,0.5,0.5
14,3,4,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.6,0.43824910245788457,0.44416804864566056,0.5962083521785014,"[[52, 1, 18], [2, 1, 2], [19, 2, 13]]",3,1,0.7323943661971831,0.7123287671232876,0.7222222222222222,0.2,0.25,0.2222222222222222,0.38235294117647056,0.3939393939393939,0.3880597014925373
14,3,4,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.6,0.38138635735984533,0.377995642701525,0.5934343434343434,"[[52, 1, 18], [3, 0, 2], [18, 2, 14]]",3,0,0.7323943661971831,0.7123287671232876,0.7222222222222222,0.0,0.0,0.0,0.4117647058823529,0.4117647058823529,0.4117647058823529
14,3,4,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6181818181818182,0.5300469483568074,0.5397441236857295,0.6239287728338823,"[[49, 0, 22], [2, 2, 1], [15, 2, 17]]",2,2,0.6901408450704225,0.7424242424242424,0.7153284671532847,0.4,0.5,0.4444444444444444,0.5,0.425,0.4594594594594595
15,3,5,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5727272727272728,0.6305164319248826,0.5090569158307267,0.5890567850874182,"[[42, 7, 22], [1, 4, 0], [13, 4, 17]]",11,4,0.5915492957746479,0.75,0.6614173228346457,0.8,0.26666666666666666,0.4,0.5,0.4358974358974359,0.4657534246575342
15,3,5,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.7,0.7064623032311518,0.6823694291320191,0.7023543101764161,"[[54, 0, 17], [1, 4, 0], [13, 2, 19]]",2,4,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.8,0.6666666666666666,0.7272727272727273,0.5588235294117647,0.5277777777777778,0.5428571428571428
